replied_to,like_count,hashtags,tweet_id,created_at,reply_count,retweet_count,retweeted,quoted,mentions,text,author_id,quote_count,_ts
[],5330,[],1603984097113538560,2022-12-17T05:23:03.000000000+00:00,1143,556,[],[],[],"Doxx Populi, Doxx Dei",44196397,98,1671254822107
[],11461,[],1603982891179839488,2022-12-17T05:18:16.000000000+00:00,3073,1155,[],[1603609466301059073],[],"The people have spoken.

Accounts who doxxed my location will have their suspension lifted now. https://t.co/MFdXbEQFCe",44196397,436,1671254822110
[1603731765402689536],3989,[],1603981524155912193,2022-12-17T05:12:50.000000000+00:00,375,413,[],[],['catturd2'],"@catturd2 Indeed, there is no other reason",44196397,24,1671254822113
[1603947747677065216],18642,[],1603950343032692736,2022-12-17T03:08:56.000000000+00:00,1230,967,[],[],['Lukewearechange'],@Lukewearechange Umm … yeah,44196397,65,1671254822122
[1603910126448033793],11779,[],1603943222522236928,2022-12-17T02:40:38.000000000+00:00,871,783,[],[],['BillFOXLA'],@BillFOXLA Bizarre,44196397,53,1671254822127
[1603913179608023040],2837,[],1603941673695707136,2022-12-17T02:34:29.000000000+00:00,427,151,[],[],['RichardGarriott'],@RichardGarriott Ultima V for me,44196397,32,1671254822130
[1603575149524971521],30484,[],1603903999870062592,2022-12-17T00:04:47.000000000+00:00,1183,2514,[],[],['littlemissjacob'],@littlemissjacob Such shameful behavior will not be tolerated going forward,44196397,120,1671254822134
[1603721979357446144],46449,[],1603902562071040000,2022-12-16T23:59:04.000000000+00:00,7043,4457,[],[],['MuskUniversity'],@MuskUniversity Too many people have lost faith in the future. A new philosophy is needed.,44196397,717,1671254822143
[],62810,[],1603902134181068800,2022-12-16T23:57:22.000000000+00:00,4046,5063,[],[1603884863085346817],[],Second launch today https://t.co/gUnyyUlZSi,44196397,356,1671254822148
[],179606,[],1603874735917764608,2022-12-16T22:08:30.000000000+00:00,16356,16505,[],[],[],Spaces is back,44196397,8866,1671254822152
[1603865576547287040],6922,[],1603873582194380800,2022-12-16T22:03:55.000000000+00:00,515,521,[],[],['WholeMarsBlog'],@WholeMarsBlog Markoff is lying,44196397,36,1671254822155
[1603865576547287040],6316,[],1603873283602272256,2022-12-16T22:02:43.000000000+00:00,722,392,[],[],['WholeMarsBlog'],"@WholeMarsBlog Weird, Markoff blocked me",44196397,44,1671254822159
[1603764087099375618],13129,[],1603873026453344256,2022-12-16T22:01:42.000000000+00:00,1360,1143,[],[],"['BillFOXLA', 'FoxNews']",@BillFOXLA @FoxNews Wow,44196397,77,1671254822162
[1603864604735578112],8569,[],1603871186793877504,2022-12-16T21:54:24.000000000+00:00,890,569,[],[],"['BrianFeroldi', 'GerberKawasaki']",@BrianFeroldi @GerberKawasaki I literally just finished my meeting going over Giga Texas production progress,44196397,69,1671254822165
[1603860184149168128],21171,[],1603870638652870656,2022-12-16T21:52:13.000000000+00:00,1198,2309,[],[],['lavern_spicer'],@lavern_spicer Freedom Fridays!!,44196397,130,1671254822169
[1603676886147764225],11250,[],1603865684475142144,2022-12-16T21:32:32.000000000+00:00,455,705,[],[],['elizableu'],@elizableu 🎯,44196397,20,1671254822172
[],0,[],1603863384285253633,2022-12-16T21:23:23.000000000+00:00,0,2347,[1603767149838729217],[],['SpaceX'],RT @SpaceX: Falcon 9 launches the Surface Water and Ocean Topography (SWOT) mission to orbit; first stage booster returns to Earth https://…,44196397,0,1671254822175
[1603862318429114368],6395,[],1603862974371753986,2022-12-16T21:21:46.000000000+00:00,237,331,[],[],['neontaster'],@neontaster 🤣,44196397,21,1671254822180
[1603861978857893889],9036,[],1603862739243630592,2022-12-16T21:20:50.000000000+00:00,772,828,[],[],['TaraBull808'],@TaraBull808 Bug fix is almost done. Spaces probably back by tonight.,44196397,283,1671254822183
[1603796863970410499],31845,[],1603861475197521920,2022-12-16T21:15:48.000000000+00:00,1961,2585,[],[],['catturd2'],@catturd2 Keith has never been more entertaining 🤣🤣,44196397,163,1671254822186
[1603837752415375361],38393,[],1603860632842907648,2022-12-16T21:12:27.000000000+00:00,3505,2934,[],[],['GerberKawasaki'],"@GerberKawasaki Tesla is executing better than ever!

We don’t control the Federal Reserve. 

That is the real problem here.",44196397,519,1671254822195
[],105144,[],1603859750168301569,2022-12-16T21:08:57.000000000+00:00,8949,22768,[],[1603857534737072128],[],KABOOM 💥💥💥💥💥 https://t.co/TS3jFZ51VR,44196397,1558,1671254822198
[1603858786271256580],54891,[],1603859357313089536,2022-12-16T21:07:23.000000000+00:00,1462,2479,[],[],['lexfridman'],@lexfridman Let’s do one next week and maybe throw in a live spaces discussion,44196397,142,1671254822202
[1603857524574531584],19967,[],1603858378320621569,2022-12-16T21:03:30.000000000+00:00,1177,1460,[],[],['DavidSacks'],@DavidSacks It isn’t,44196397,68,1671254822206
[1603828165767462912],6554,[],1603858301694812166,2022-12-16T21:03:12.000000000+00:00,283,224,[],[],['Cynical_CJ'],@Cynical_CJ Awesome 😎,44196397,21,1671254822209
[1603855182143852544],9135,[],1603857635412889600,2022-12-16T21:00:33.000000000+00:00,308,442,[],[],['DavidSacks'],@DavidSacks 💯,44196397,21,1671254822213
[],300533,[],1603853851504697344,2022-12-16T20:45:31.000000000+00:00,24132,31280,[],[],[],So inspiring to see the newfound love of freedom of speech by the press 🥰,44196397,2982,1671254822217
[],233108,[],1603852159283445760,2022-12-16T20:38:47.000000000+00:00,15494,20729,[],[],[],"Meanwhile, Twitter usage (by real humans) once again reaches all-time highs",44196397,1954,1671254822220
[1603821403731476480],42139,[],1603851100569812992,2022-12-16T20:34:35.000000000+00:00,4354,4912,[],[],"['bariweiss', 'thehonestlypod', 'RoKhanna']","@bariweiss @thehonestlypod @RoKhanna Rather than rigorously pursuing truth, you are virtue-signaling to show that you are “good” in the eyes of media elite to keep one foot in both worlds",44196397,1210,1671254822223
[],30594,[],1603847698196492288,2022-12-16T20:21:03.000000000+00:00,5789,2770,[],[1603843072915148800],[],Great questions https://t.co/3HueYswz6o,44196397,334,1671254822226
[1603731616626614272],25473,[],1603839351414104064,2022-12-16T19:47:53.000000000+00:00,833,1492,[],[],"['thevivafrei', 'StephenKing']",@thevivafrei @StephenKing 🔥🔥,44196397,49,1671254822228
[1603755721937387520],22169,[],1603838228314062849,2022-12-16T19:43:26.000000000+00:00,718,1124,[],[],['Liz_Wheeler'],@Liz_Wheeler 🤣🤣,44196397,30,1671254822232
[1603833614520696832],6502,[],1603836383885332480,2022-12-16T19:36:06.000000000+00:00,720,949,[],[],"['andy0___', 'sama']","@andy0___ @sama The danger of training AI to be woke – in other words, lie – is deadly",44196397,193,1671254822235
[1603795577602740224],3109,[],1603833061249990656,2022-12-16T19:22:54.000000000+00:00,212,160,[],[],['HollyBriden'],@HollyBriden 🤣🤣,44196397,6,1671254822238
[1603823378170671104],7855,[],1603829010454130688,2022-12-16T19:06:48.000000000+00:00,581,351,[],[],['micsolana'],@micsolana wow,44196397,27,1671254822241
[1603797171572117505],33309,[],1603821403731476480,2022-12-16T18:36:34.000000000+00:00,3273,2377,[],[],"['bariweiss', 'thehonestlypod', 'RoKhanna']","@bariweiss @thehonestlypod @RoKhanna Bari, this is a real question, not rhetorical. What is your opinion?",44196397,308,1671254822995
[1603794722140688384],13529,[],1603820996204539904,2022-12-16T18:34:57.000000000+00:00,497,583,[],[],['GuyDealership'],@GuyDealership Good prediction,44196397,42,1671254822246
[1603815273915879425],45773,[],1603818599918948353,2022-12-16T18:25:26.000000000+00:00,4666,4031,[],[],['WholeMarsBlog'],@WholeMarsBlog Twitter is not the real world,44196397,885,1671254822250
[1603804913779326985],42677,[],1603812842334871552,2022-12-16T18:02:33.000000000+00:00,3589,3400,[],[],"['TomFitton', 'Twitter']",@TomFitton @Twitter That’s what they are saying,44196397,187,1671254822252
[1603576903511703553],11261,[],1603811513998880768,2022-12-16T17:57:16.000000000+00:00,586,1002,[],[],"['WallStreetSilv', 'micsolana']",@WallStreetSilv @micsolana Exactly. Same rules for all.,44196397,52,1671254822255
[1603810994782101504],12597,[],1603811376681451520,2022-12-16T17:56:44.000000000+00:00,1078,1242,[],[],"['CathieDWood', 'ARKInvest', 'GuyDealership']","@CathieDWood @ARKInvest @GuyDealership Potentially, the biggest financial crisis ever",44196397,221,1671254822258
[],283182,[],1603804175858429952,2022-12-16T17:28:07.000000000+00:00,29198,30995,[],[],[],"And soon, ladies &amp; gentlemen, the coup de grâce",44196397,6850,1671254822260
[1603705895430811648],17433,[],1603803713612656640,2022-12-16T17:26:17.000000000+00:00,860,1068,[],[],['dogeofficialceo'],"@dogeofficialceo Things are rather intense right now, but maybe closer to Christmas",44196397,128,1671254822263
[1603748611896283137],28365,[],1603803508087537665,2022-12-16T17:25:28.000000000+00:00,892,1749,[],[],['Timcast'],@Timcast Correct,44196397,69,1671254822266
[1603788349482749962],72861,[],1603797171572117505,2022-12-16T17:00:17.000000000+00:00,16047,8357,[],[],"['bariweiss', 'thehonestlypod', 'RoKhanna']","@bariweiss @thehonestlypod @RoKhanna What should the consequence of doxxing someone’s real-time, exact location be? Assume your child is at that location, as mine was.",44196397,1563,1671254823019
[1603562924806737920],19304,[],1603667484329988100,2022-12-16T08:24:57.000000000+00:00,1376,1309,[],[],['neontaster'],@neontaster One day of Twitter suspension ≠ death,44196397,171,1671254822272
[1603586080657260545],11902,[],1603666518318845952,2022-12-16T08:21:07.000000000+00:00,550,396,[],[],['neontaster'],@neontaster 🤣,44196397,32,1671254822275
[],610295,[],1603659604906213376,2022-12-16T07:53:39.000000000+00:00,62102,45296,[],[],[],Twitter right now is 🔥🔥🔥🔥,44196397,16323,1671254822277
[1603559208124809217],19421,[],1603658262997389312,2022-12-16T07:48:19.000000000+00:00,522,785,[],[],['neontaster'],@neontaster 🤣🤣🤣,44196397,32,1671254822281
[1603644570679803904],21301,[],1603656368006631424,2022-12-16T07:40:47.000000000+00:00,721,947,[],[],"['Gfilche', 'Twitter']",@Gfilche @Twitter 🎯,44196397,31,1671254822283
[1603637443357421569],23743,[],1603656085390270464,2022-12-16T07:39:39.000000000+00:00,1792,2529,[],[],['jasondebolt'],@jasondebolt My plane is actually not trackable without using non-public data,44196397,743,1671254822286
[1603614494306865152],11668,[],1603654287006892032,2022-12-16T07:32:31.000000000+00:00,735,483,[],[],['Chad_Hurley'],@Chad_Hurley No you,44196397,45,1671254822289
[1603626368956145664],122557,[],1603651150498398208,2022-12-16T07:20:03.000000000+00:00,5710,7569,[],[],['JackPosobiec'],"@JackPosobiec If they’re naughty, they get suspended",44196397,875,1671254822292
[1603648965656084480],16022,[],1603649264290123778,2022-12-16T07:12:33.000000000+00:00,1545,3377,[],[],"['sirmaejor', 'verified', 'TwitterSpaces']",@sirmaejor @verified @TwitterSpaces We’re fixing a Legacy bug. Should be working tomorrow.,44196397,3542,1671254822294
[1603576729955622912],6962,[],1603648870910611456,2022-12-16T07:10:59.000000000+00:00,274,270,[],[],['alifarhat79'],"@alifarhat79 Twitter too, no doubt",44196397,15,1671254822298
[1603644091744518145],45756,[],1603648020117000192,2022-12-16T07:07:36.000000000+00:00,2005,1961,[],[],['lexfridman'],@lexfridman That’s the goal!,44196397,99,1671254822300
[1603646057480478726],35968,[],1603647277284720641,2022-12-16T07:04:39.000000000+00:00,986,1638,[],[],['OzraeliAvi'],@OzraeliAvi 🧙‍♀️ 🪄,44196397,72,1671254822302
[1603643774810214400],6806,[],1603644625134448641,2022-12-16T06:54:07.000000000+00:00,391,356,[],[],"['teslaownersSV', 'alx']",@teslaownersSV @alx Next week,44196397,74,1671254822306
[1603611892047646721],191776,[],1603643215336218624,2022-12-16T06:48:31.000000000+00:00,15843,15771,[],[],['alx'],@alx So they’re saying  it’s really bad to suspend people from Twitter 🤔,44196397,1469,1671254822309
[1603622391917162496],6247,[],1603638782439194625,2022-12-16T06:30:54.000000000+00:00,524,379,[],[],['WholeMarsBlog'],@WholeMarsBlog https://t.co/biqA7UUoL6,44196397,39,1671254822311
[1603637403079655424],5146,[],1603637730923008000,2022-12-16T06:26:43.000000000+00:00,214,256,[],[],"['TweetBinder', 'jason_kint']",@TweetBinder @jason_kint Woohoo 🔥🔥🔥,44196397,26,1671254822314
[1603557011114889216],31892,[],1603637013235658752,2022-12-16T06:23:52.000000000+00:00,583,1133,[],[],['jason_kint'],@jason_kint 😱,44196397,140,1671254822317
[1603461094202167297],9434,[],1603636496170221568,2022-12-16T06:21:49.000000000+00:00,531,512,[],[],['CommunityNotes'],@CommunityNotes Community Notes expands!,44196397,25,1671254822319
[],0,[],1603632405889179648,2022-12-16T06:05:34.000000000+00:00,0,5410,[1603631535659237377],[],['pmarca'],RT @pmarca: A warm welcome to all the newest converts to the great American cause of free speech!,44196397,0,1671254822322
[1603612238199148544],26226,[],1603621449998118913,2022-12-16T05:22:02.000000000+00:00,1417,984,[],[],['WholeMarsBlog'],@WholeMarsBlog Agreed,44196397,58,1671254822325
[1603423456795557893],12819,[],1603620565461266432,2022-12-16T05:18:31.000000000+00:00,1348,495,[],[],"['AlecStapp', 'kimbal']",@AlecStapp @kimbal Absolutely,44196397,126,1671254822328
[1603614578382110720],20196,[],1603619256922300416,2022-12-16T05:13:19.000000000+00:00,793,800,[],[],['stillgray'],@stillgray 🔥🔥,44196397,33,1671254822331
[1603605552289849345],238444,[],1603613149168472064,2022-12-16T04:49:03.000000000+00:00,9869,12703,[],[],['AOC'],@AOC You first lol,44196397,1421,1671254822333
[1603603758201442304],75644,[],1603612800470831104,2022-12-16T04:47:39.000000000+00:00,3061,2846,[],[],['DavidSacks'],@DavidSacks Seems fine to me,44196397,144,1671254822336
[1603605220407136257],12040,[],1603612261985107968,2022-12-16T04:45:31.000000000+00:00,685,631,[],[],['conmomma'],@conmomma Exactly,44196397,34,1671254822339
[1603610008226340864],11224,[],1603610973444534272,2022-12-16T04:40:24.000000000+00:00,1027,267,[],[],['onionweigher'],@onionweigher 🤣,44196397,70,1671254822342
[],76556,[],1603609466301059073,2022-12-16T04:34:25.000000000+00:00,66166,19039,[],[],[],Unsuspend accounts who doxxed my exact location in real-time,44196397,9227,1671254822903
[1603600001057185792],70371,[],1603609278664712192,2022-12-16T04:33:40.000000000+00:00,11533,2813,[],[],[],"Sorry, too many options. Will redo poll.",44196397,2481,1671254822347
[1603600001057185792],240398,[],1603602018727104513,2022-12-16T04:04:49.000000000+00:00,17900,26907,[],[],[],"If anyone posted real-time locations &amp; addresses of NYT reporters, FBI would be investigating, there’d be hearings on Capitol Hill &amp; Biden would give speeches about end of democracy!",44196397,2705,1671254822350
[],79049,[],1603600001057185792,2022-12-16T03:56:48.000000000+00:00,25495,10141,[],[],[],Unsuspend accounts who doxxed my exact location in real-time,44196397,4324,1671254823123
[1603567325214838785],27192,[],1603596984933154817,2022-12-16T03:44:49.000000000+00:00,1335,1408,[],[],['pmarca'],@pmarca Words to live by,44196397,76,1671254822356
[1603595276165550082],11130,[],1603595886759591936,2022-12-16T03:40:27.000000000+00:00,904,1059,[],[],"['alx', 'IFNY2775', 'micsolana', 'JxckSweeney', 'ElonJet']","@alx @IFNY2775 @micsolana @JxckSweeney @ElonJet Yeah, we will add that feature. Current system isn’t clear.

A time delay on reporting location that doesn’t put people at serious risk of being killed is fine.",44196397,90,1671254822358
[1603590760984563719],11898,[],1603594139383123968,2022-12-16T03:33:30.000000000+00:00,499,572,[],[],"['TRHLofficial', 'IFNY2775', 'micsolana']",@TRHLofficial @IFNY2775 @micsolana 🤣🤣,44196397,21,1671254822362
[1603575877538680832],22582,[],1603593201683599360,2022-12-16T03:29:47.000000000+00:00,2855,2266,[],[],"['IFNY2775', 'micsolana']",@IFNY2775 @micsolana Accounts engaged in doxxing receive a temporary 7 day suspension,44196397,520,1671254822364
[1603567541997051904],121047,[],1603591994244071424,2022-12-16T03:24:59.000000000+00:00,7740,7948,[],[],"['RAMansour', 'KeithOlbermann']",@RAMansour @KeithOlbermann 7 day suspension for doxxing. Some time away from Twitter is good for the soul …,44196397,1471,1671254822367
[1603573725978275841],75633,[],1603587970832793600,2022-12-16T03:09:00.000000000+00:00,12947,11316,[],[],['micsolana'],"@micsolana They posted my exact real-time location, basically assassination coordinates, in (obvious) direct violation of Twitter terms of service",44196397,4846,1671254822370
[],116833,[],1603576251125362688,2022-12-16T02:22:25.000000000+00:00,16765,7520,[],[],[],I love Barbara Streisand lol,44196397,1921,1671254822373
[1603573899744235521],151914,[],1603575877538680832,2022-12-16T02:20:56.000000000+00:00,21687,18050,[],[],"['IFNY2775', 'micsolana']","@IFNY2775 @micsolana Criticizing me all day long is totally fine, but doxxing my real-time location and endangering my family is not",44196397,3560,1671254823135
[1603570995490455552],145109,[],1603573725978275841,2022-12-16T02:12:23.000000000+00:00,10163,14428,[],[],['micsolana'],@micsolana Same doxxing rules apply to “journalists” as to everyone else,44196397,2559,1671254823140
[],0,[],1603532164188065794,2022-12-15T23:27:14.000000000+00:00,0,2424,[1603512288966746130],[],['Tesla'],"RT @Tesla: Tesla Electric lets Powerwall owners generate, use &amp; export sustainable power to run their homes https://t.co/JHZ48NSwUS",44196397,0,1671254822381
[],0,[],1603532139022229504,2022-12-15T23:27:08.000000000+00:00,0,4562,[1603512255672225792],[],['Tesla'],"RT @Tesla: Introducing Tesla Electric, the electricity plan that offers low-cost clean energy for homes with Powerwall—starting in Texas →…",44196397,0,1671254822384
[1598849289165602818],21170,[],1603530469768830978,2022-12-15T23:20:30.000000000+00:00,1509,1439,[],[],['Caitlyn_Jenner'],"@Caitlyn_Jenner Yup, recent events make that super clear!",44196397,95,1671254822387
[1603519571192946689],26161,[],1603529574075486208,2022-12-15T23:16:57.000000000+00:00,1771,985,[],[],"['ashleevance', 'JeffBezos']",@ashleevance @JeffBezos lol,44196397,87,1671254822389
[],0,[],1603491216364036096,2022-12-15T20:44:32.000000000+00:00,0,8297,[1603488658085945344],[],['SpaceX'],RT @SpaceX: Ship 24 completes a single-engine static fire test at Starbase in Texas https://t.co/gF9beLcarX,44196397,0,1671254822393
[],0,[],1603479447734214672,2022-12-15T19:57:46.000000000+00:00,0,3965,[1603478891728887822],[],['Tesla'],"RT @Tesla: Giga Texas hits 3k Model Y builds/week. 

Congrats, Tesla team! 🤘 https://t.co/uhG03gFyba",44196397,0,1671254822395
[1603454190432288770],12377,[],1603461035138158600,2022-12-15T18:44:36.000000000+00:00,612,450,[],[],['ilyasut'],@ilyasut 🤣🔥,44196397,31,1671254822398
[1603397243306115072],33013,[],1603460917550845956,2022-12-15T18:44:08.000000000+00:00,3094,1798,[],[],['MuskUniversity'],@MuskUniversity So few understand this,44196397,210,1671254822401
[1603454719850315776],22139,[],1603456462889824256,2022-12-15T18:26:26.000000000+00:00,1342,2385,[],[],"['stillgray', 'MrAndyNgo']","@stillgray @MrAndyNgo Twitter obviously must be fair to all, so will aim to stop violent extremism being promoted by any group",44196397,170,1671254822404
[1603453381355487234],53622,[],1603454133243199500,2022-12-15T18:17:10.000000000+00:00,2112,3104,[],[],['MrAndyNgo'],@MrAndyNgo Insane,44196397,122,1671254822407
[],0,[],1603404090301718529,2022-12-15T14:58:19.000000000+00:00,0,2602,[1603225428231069696],[],['NASA'],"RT @NASA: We're now targeting no earlier than 6:46am ET (1146 UTC) on Friday, Dec. 16, for launch of the Surface Water and Ocean Topography…",44196397,0,1671254822409
[],0,[],1603404074765934592,2022-12-15T14:58:15.000000000+00:00,0,1844,[1603103156530921472],[],"['SpaceX', 'MuscowpetungRez']","RT @SpaceX: Starlink will provide high-speed internet to the @MuscowpetungRez in Saskatchewan, Canada starting next year",44196397,0,1671254822412
[1603245884451434499],111145,[],1603273356865847297,2022-12-15T06:18:50.000000000+00:00,23996,6788,[],[],['Teslaconomics'],@Teslaconomics Suggestions are welcome,44196397,870,1671254822416
[1603138444691111936],143180,[],1603260173644169216,2022-12-15T05:26:27.000000000+00:00,2332,6193,[],[],['TheBabylonBee'],@TheBabylonBee 🤣🔥,44196397,160,1671254822419
[1603236292858355712],24997,[],1603237081861472257,2022-12-15T03:54:41.000000000+00:00,1602,1054,[],[],['jhall'],@jhall Yeah,44196397,35,1671254822421
[1603190155107794944],159285,[],1603235998263123969,2022-12-15T03:50:23.000000000+00:00,26569,31369,[],[],[],Anyone recognize this person or car? https://t.co/2U0Eyx7iwl,44196397,4810,1671254822424
